Machine 1 log started at 2025-03-05 12:46:02.409909
Clock rate: 3.48 ticks per second
2025-03-05 12:46:04 | INTERNAL | Clock: 1 | Internal event
2025-03-05 12:46:04 | SEND | Clock: 2 | Sent to machine 3
2025-03-05 12:46:04 | INTERNAL | Clock: 3 | Internal event
2025-03-05 12:46:05 | INTERNAL | Clock: 4 | Internal event
2025-03-05 12:46:05 | INTERNAL | Clock: 5 | Internal event
2025-03-05 12:46:05 | INTERNAL | Clock: 6 | Internal event
2025-03-05 12:46:06 | SEND | Clock: 7 | Sent to machine 2
2025-03-05 12:46:06 | SEND | Clock: 8 | Sent to machine 3
2025-03-05 12:46:06 | INTERNAL | Clock: 9 | Internal event
2025-03-05 12:46:06 | RECEIVE | Clock: 13 | Message clock: 12, Queue length: 0
2025-03-05 12:46:07 | RECEIVE | Clock: 15 | Message clock: 14, Queue length: 0
2025-03-05 12:46:07 | RECEIVE | Clock: 17 | Message clock: 16, Queue length: 0
2025-03-05 12:46:07 | RECEIVE | Clock: 18 | Message clock: 17, Queue length: 0
2025-03-05 12:46:07 | INTERNAL | Clock: 19 | Internal event
2025-03-05 12:46:08 | INTERNAL | Clock: 20 | Internal event
2025-03-05 12:46:08 | SEND | Clock: 21 | Sent to machine 2
2025-03-05 12:46:08 | SEND | Clock: 22 | Sent to machine 3
2025-03-05 12:46:08 | RECEIVE | Clock: 23 | Message clock: 21, Queue length: 0
2025-03-05 12:46:09 | INTERNAL | Clock: 24 | Internal event
2025-03-05 12:46:09 | INTERNAL | Clock: 25 | Internal event
2025-03-05 12:46:09 | SEND | Clock: 26 | Sent to machine 2
2025-03-05 12:46:09 | SEND | Clock: 27 | Sent to machine 3
2025-03-05 12:46:09 | SEND | Clock: 28 | Sent to machine 2
2025-03-05 12:46:09 | SEND | Clock: 29 | Sent to machine 3
2025-03-05 12:46:10 | SEND | Clock: 30 | Sent to machine 2
2025-03-05 12:46:10 | INTERNAL | Clock: 31 | Internal event
2025-03-05 12:46:10 | INTERNAL | Clock: 32 | Internal event
2025-03-05 12:46:11 | SEND | Clock: 33 | Sent to machine 3
2025-03-05 12:46:11 | RECEIVE | Clock: 35 | Message clock: 34, Queue length: 0
2025-03-05 12:46:11 | RECEIVE | Clock: 36 | Message clock: 35, Queue length: 0
2025-03-05 12:46:12 | INTERNAL | Clock: 37 | Internal event
2025-03-05 12:46:12 | RECEIVE | Clock: 40 | Message clock: 39, Queue length: 0
2025-03-05 12:46:12 | SEND | Clock: 41 | Sent to machine 2
