Machine 3 log started at 2025-03-05 12:46:03.415987
Clock rate: 3.25 ticks per second
2025-03-05 12:46:03 | SEND | Clock: 1 | Sent to machine 2
2025-03-05 12:46:03 | INTERNAL | Clock: 2 | Internal event
2025-03-05 12:46:04 | INTERNAL | Clock: 3 | Internal event
2025-03-05 12:46:04 | INTERNAL | Clock: 4 | Internal event
2025-03-05 12:46:04 | RECEIVE | Clock: 5 | Message clock: 4, Queue length: 0
2025-03-05 12:46:04 | RECEIVE | Clock: 6 | Message clock: 2, Queue length: 0
2025-03-05 12:46:05 | SEND | Clock: 7 | Sent to machine 2
2025-03-05 12:46:05 | SEND | Clock: 8 | Sent to machine 2
2025-03-05 12:46:05 | INTERNAL | Clock: 9 | Internal event
2025-03-05 12:46:06 | RECEIVE | Clock: 10 | Message clock: 8, Queue length: 0
2025-03-05 12:46:06 | INTERNAL | Clock: 11 | Internal event
2025-03-05 12:46:06 | RECEIVE | Clock: 14 | Message clock: 13, Queue length: 0
2025-03-05 12:46:07 | RECEIVE | Clock: 16 | Message clock: 15, Queue length: 0
2025-03-05 12:46:07 | SEND | Clock: 17 | Sent to machine 1
2025-03-05 12:46:07 | INTERNAL | Clock: 18 | Internal event
2025-03-05 12:46:08 | INTERNAL | Clock: 19 | Internal event
2025-03-05 12:46:08 | INTERNAL | Clock: 20 | Internal event
2025-03-05 12:46:08 | RECEIVE | Clock: 23 | Message clock: 22, Queue length: 0
2025-03-05 12:46:09 | SEND | Clock: 24 | Sent to machine 2
2025-03-05 12:46:09 | RECEIVE | Clock: 27 | Message clock: 26, Queue length: 0
2025-03-05 12:46:09 | RECEIVE | Clock: 28 | Message clock: 27, Queue length: 0
2025-03-05 12:46:09 | RECEIVE | Clock: 29 | Message clock: 27, Queue length: 0
2025-03-05 12:46:10 | RECEIVE | Clock: 30 | Message clock: 29, Queue length: 0
2025-03-05 12:46:10 | INTERNAL | Clock: 31 | Internal event
2025-03-05 12:46:10 | INTERNAL | Clock: 32 | Internal event
2025-03-05 12:46:11 | RECEIVE | Clock: 34 | Message clock: 33, Queue length: 0
2025-03-05 12:46:11 | RECEIVE | Clock: 37 | Message clock: 36, Queue length: 0
2025-03-05 12:46:11 | RECEIVE | Clock: 38 | Message clock: 37, Queue length: 0
2025-03-05 12:46:12 | SEND | Clock: 39 | Sent to machine 1
2025-03-05 12:46:12 | SEND | Clock: 40 | Sent to machine 2
