Machine 3 log started at 2025-03-05 09:17:38.991748
Clock rate: 1 ticks per second
2025-03-05 09:17:38 | SEND | Clock: 1 | Sent to machine 2
2025-03-05 09:17:39 | INTERNAL | Clock: 2 | Internal event
2025-03-05 09:17:41 | RECEIVE | Clock: 4 | Message clock: 3, Queue length: 0
2025-03-05 09:17:42 | INTERNAL | Clock: 5 | Internal event
2025-03-05 09:17:43 | RECEIVE | Clock: 9 | Message clock: 8, Queue length: 0
2025-03-05 09:17:44 | INTERNAL | Clock: 10 | Internal event
2025-03-05 09:17:45 | RECEIVE | Clock: 14 | Message clock: 13, Queue length: 0
2025-03-05 09:17:46 | SEND | Clock: 15 | Sent to machine 2
2025-03-05 09:17:47 | INTERNAL | Clock: 16 | Internal event
2025-03-05 09:17:48 | INTERNAL | Clock: 17 | Internal event
2025-03-05 09:17:49 | RECEIVE | Clock: 21 | Message clock: 20, Queue length: 0
2025-03-05 09:17:50 | RECEIVE | Clock: 24 | Message clock: 23, Queue length: 0
2025-03-05 09:17:51 | SEND | Clock: 25 | Sent to machine 2
2025-03-05 09:17:52 | SEND | Clock: 26 | Sent to machine 1
2025-03-05 09:17:53 | INTERNAL | Clock: 27 | Internal event
2025-03-05 09:17:54 | RECEIVE | Clock: 33 | Message clock: 32, Queue length: 0
2025-03-05 09:17:55 | INTERNAL | Clock: 34 | Internal event
2025-03-05 09:17:56 | RECEIVE | Clock: 37 | Message clock: 36, Queue length: 0
2025-03-05 09:17:57 | RECEIVE | Clock: 38 | Message clock: 34, Queue length: 1
2025-03-05 09:17:58 | RECEIVE | Clock: 39 | Message clock: 36, Queue length: 0
2025-03-05 09:17:59 | INTERNAL | Clock: 40 | Internal event
2025-03-05 09:18:00 | INTERNAL | Clock: 41 | Internal event
2025-03-05 09:18:01 | RECEIVE | Clock: 48 | Message clock: 47, Queue length: 0
2025-03-05 09:18:02 | RECEIVE | Clock: 49 | Message clock: 41, Queue length: 0
2025-03-05 09:18:03 | INTERNAL | Clock: 50 | Internal event
2025-03-05 09:18:04 | INTERNAL | Clock: 51 | Internal event
