Machine 1 log started at 2025-03-05 09:22:57.981995
Clock rate: 6 ticks per second
2025-03-05 09:22:59 | INTERNAL | Clock: 1 | Internal event
2025-03-05 09:23:00 | INTERNAL | Clock: 2 | Internal event
2025-03-05 09:23:00 | INTERNAL | Clock: 3 | Internal event
2025-03-05 09:23:00 | INTERNAL | Clock: 4 | Internal event
2025-03-05 09:23:00 | INTERNAL | Clock: 5 | Internal event
2025-03-05 09:23:00 | INTERNAL | Clock: 6 | Internal event
2025-03-05 09:23:01 | INTERNAL | Clock: 7 | Internal event
2025-03-05 09:23:01 | INTERNAL | Clock: 8 | Internal event
2025-03-05 09:23:01 | SEND | Clock: 9 | Sent to machine 2
2025-03-05 09:23:01 | SEND | Clock: 10 | Sent to machine 2
2025-03-05 09:23:01 | SEND | Clock: 11 | Sent to machine 3
2025-03-05 09:23:01 | INTERNAL | Clock: 12 | Internal event
2025-03-05 09:23:01 | INTERNAL | Clock: 13 | Internal event
2025-03-05 09:23:02 | INTERNAL | Clock: 14 | Internal event
2025-03-05 09:23:02 | SEND | Clock: 15 | Sent to machine 2
2025-03-05 09:23:02 | INTERNAL | Clock: 16 | Internal event
2025-03-05 09:23:02 | SEND | Clock: 17 | Sent to machine 2
2025-03-05 09:23:02 | SEND | Clock: 18 | Sent to machine 2
2025-03-05 09:23:02 | INTERNAL | Clock: 19 | Internal event
2025-03-05 09:23:03 | SEND | Clock: 20 | Sent to machine 2
2025-03-05 09:23:03 | SEND | Clock: 21 | Sent to machine 3
2025-03-05 09:23:03 | INTERNAL | Clock: 22 | Internal event
2025-03-05 09:23:03 | INTERNAL | Clock: 23 | Internal event
2025-03-05 09:23:03 | SEND | Clock: 24 | Sent to machine 2
2025-03-05 09:23:03 | SEND | Clock: 25 | Sent to machine 3
2025-03-05 09:23:03 | SEND | Clock: 26 | Sent to machine 2
2025-03-05 09:23:03 | INTERNAL | Clock: 27 | Internal event
2025-03-05 09:23:04 | SEND | Clock: 28 | Sent to machine 2
2025-03-05 09:23:04 | SEND | Clock: 29 | Sent to machine 3
2025-03-05 09:23:04 | SEND | Clock: 30 | Sent to machine 3
2025-03-05 09:23:04 | INTERNAL | Clock: 31 | Internal event
2025-03-05 09:23:04 | SEND | Clock: 32 | Sent to machine 3
2025-03-05 09:23:04 | SEND | Clock: 33 | Sent to machine 2
2025-03-05 09:23:04 | INTERNAL | Clock: 34 | Internal event
2025-03-05 09:23:05 | INTERNAL | Clock: 35 | Internal event
2025-03-05 09:23:05 | INTERNAL | Clock: 36 | Internal event
2025-03-05 09:23:05 | INTERNAL | Clock: 37 | Internal event
2025-03-05 09:23:05 | INTERNAL | Clock: 38 | Internal event
2025-03-05 09:23:05 | INTERNAL | Clock: 39 | Internal event
2025-03-05 09:23:05 | SEND | Clock: 40 | Sent to machine 3
2025-03-05 09:23:06 | INTERNAL | Clock: 41 | Internal event
2025-03-05 09:23:06 | INTERNAL | Clock: 42 | Internal event
2025-03-05 09:23:06 | INTERNAL | Clock: 43 | Internal event
2025-03-05 09:23:06 | RECEIVE | Clock: 44 | Message clock: 42, Queue length: 0
2025-03-05 09:23:06 | SEND | Clock: 45 | Sent to machine 2
2025-03-05 09:23:06 | INTERNAL | Clock: 46 | Internal event
2025-03-05 09:23:07 | INTERNAL | Clock: 47 | Internal event
2025-03-05 09:23:07 | INTERNAL | Clock: 48 | Internal event
2025-03-05 09:23:07 | INTERNAL | Clock: 49 | Internal event
2025-03-05 09:23:07 | SEND | Clock: 50 | Sent to machine 2
2025-03-05 09:23:07 | INTERNAL | Clock: 51 | Internal event
2025-03-05 09:23:08 | INTERNAL | Clock: 52 | Internal event
2025-03-05 09:23:08 | SEND | Clock: 53 | Sent to machine 2
2025-03-05 09:23:08 | INTERNAL | Clock: 54 | Internal event
2025-03-05 09:23:08 | INTERNAL | Clock: 55 | Internal event
2025-03-05 09:23:08 | INTERNAL | Clock: 56 | Internal event
2025-03-05 09:23:08 | INTERNAL | Clock: 57 | Internal event
2025-03-05 09:23:09 | INTERNAL | Clock: 58 | Internal event
2025-03-05 09:23:09 | INTERNAL | Clock: 59 | Internal event
2025-03-05 09:23:09 | SEND | Clock: 60 | Sent to machine 3
2025-03-05 09:23:09 | SEND | Clock: 61 | Sent to machine 2
2025-03-05 09:23:09 | INTERNAL | Clock: 62 | Internal event
2025-03-05 09:23:09 | INTERNAL | Clock: 63 | Internal event
2025-03-05 09:23:10 | INTERNAL | Clock: 64 | Internal event
2025-03-05 09:23:10 | SEND | Clock: 65 | Sent to machine 2
2025-03-05 09:23:10 | INTERNAL | Clock: 66 | Internal event
2025-03-05 09:23:10 | INTERNAL | Clock: 67 | Internal event
2025-03-05 09:23:10 | INTERNAL | Clock: 68 | Internal event
2025-03-05 09:23:10 | SEND | Clock: 69 | Sent to machine 2
2025-03-05 09:23:11 | INTERNAL | Clock: 70 | Internal event
2025-03-05 09:23:11 | INTERNAL | Clock: 71 | Internal event
2025-03-05 09:23:11 | INTERNAL | Clock: 72 | Internal event
2025-03-05 09:23:11 | INTERNAL | Clock: 73 | Internal event
2025-03-05 09:23:11 | SEND | Clock: 74 | Sent to machine 2
2025-03-05 09:23:11 | SEND | Clock: 75 | Sent to machine 3
2025-03-05 09:23:12 | SEND | Clock: 76 | Sent to machine 2
2025-03-05 09:23:12 | SEND | Clock: 77 | Sent to machine 3
2025-03-05 09:23:12 | INTERNAL | Clock: 78 | Internal event
2025-03-05 09:23:12 | INTERNAL | Clock: 79 | Internal event
2025-03-05 09:23:12 | INTERNAL | Clock: 80 | Internal event
2025-03-05 09:23:12 | INTERNAL | Clock: 81 | Internal event
2025-03-05 09:23:12 | INTERNAL | Clock: 82 | Internal event
2025-03-05 09:23:13 | INTERNAL | Clock: 83 | Internal event
2025-03-05 09:23:13 | INTERNAL | Clock: 84 | Internal event
2025-03-05 09:23:13 | SEND | Clock: 85 | Sent to machine 2
2025-03-05 09:23:13 | SEND | Clock: 86 | Sent to machine 3
2025-03-05 09:23:13 | INTERNAL | Clock: 87 | Internal event
2025-03-05 09:23:13 | INTERNAL | Clock: 88 | Internal event
2025-03-05 09:23:13 | INTERNAL | Clock: 89 | Internal event
2025-03-05 09:23:14 | SEND | Clock: 90 | Sent to machine 3
2025-03-05 09:23:14 | INTERNAL | Clock: 91 | Internal event
2025-03-05 09:23:14 | INTERNAL | Clock: 92 | Internal event
2025-03-05 09:23:14 | INTERNAL | Clock: 93 | Internal event
2025-03-05 09:23:14 | SEND | Clock: 94 | Sent to machine 2
2025-03-05 09:23:15 | SEND | Clock: 95 | Sent to machine 2
2025-03-05 09:23:15 | SEND | Clock: 96 | Sent to machine 2
2025-03-05 09:23:15 | INTERNAL | Clock: 97 | Internal event
2025-03-05 09:23:15 | SEND | Clock: 98 | Sent to machine 3
2025-03-05 09:23:15 | SEND | Clock: 99 | Sent to machine 2
2025-03-05 09:23:15 | INTERNAL | Clock: 100 | Internal event
2025-03-05 09:23:16 | INTERNAL | Clock: 101 | Internal event
2025-03-05 09:23:16 | INTERNAL | Clock: 102 | Internal event
2025-03-05 09:23:16 | INTERNAL | Clock: 103 | Internal event
2025-03-05 09:23:16 | INTERNAL | Clock: 104 | Internal event
2025-03-05 09:23:16 | INTERNAL | Clock: 105 | Internal event
2025-03-05 09:23:16 | INTERNAL | Clock: 106 | Internal event
2025-03-05 09:23:17 | INTERNAL | Clock: 107 | Internal event
2025-03-05 09:23:17 | INTERNAL | Clock: 108 | Internal event
2025-03-05 09:23:17 | INTERNAL | Clock: 109 | Internal event
2025-03-05 09:23:17 | INTERNAL | Clock: 110 | Internal event
2025-03-05 09:23:17 | RECEIVE | Clock: 111 | Message clock: 103, Queue length: 0
2025-03-05 09:23:17 | INTERNAL | Clock: 112 | Internal event
2025-03-05 09:23:18 | INTERNAL | Clock: 113 | Internal event
2025-03-05 09:23:18 | INTERNAL | Clock: 114 | Internal event
2025-03-05 09:23:18 | SEND | Clock: 115 | Sent to machine 2
2025-03-05 09:23:18 | SEND | Clock: 116 | Sent to machine 3
2025-03-05 09:23:18 | SEND | Clock: 117 | Sent to machine 2
2025-03-05 09:23:18 | SEND | Clock: 118 | Sent to machine 3
2025-03-05 09:23:18 | INTERNAL | Clock: 119 | Internal event
2025-03-05 09:23:18 | INTERNAL | Clock: 120 | Internal event
2025-03-05 09:23:19 | SEND | Clock: 121 | Sent to machine 3
2025-03-05 09:23:19 | INTERNAL | Clock: 122 | Internal event
2025-03-05 09:23:19 | INTERNAL | Clock: 123 | Internal event
2025-03-05 09:23:19 | INTERNAL | Clock: 124 | Internal event
2025-03-05 09:23:19 | SEND | Clock: 125 | Sent to machine 2
2025-03-05 09:23:19 | SEND | Clock: 126 | Sent to machine 3
2025-03-05 09:23:19 | INTERNAL | Clock: 127 | Internal event
2025-03-05 09:23:20 | SEND | Clock: 128 | Sent to machine 3
2025-03-05 09:23:20 | SEND | Clock: 129 | Sent to machine 2
2025-03-05 09:23:20 | SEND | Clock: 130 | Sent to machine 3
2025-03-05 09:23:20 | INTERNAL | Clock: 131 | Internal event
2025-03-05 09:23:20 | INTERNAL | Clock: 132 | Internal event
2025-03-05 09:23:20 | SEND | Clock: 133 | Sent to machine 2
2025-03-05 09:23:20 | INTERNAL | Clock: 134 | Internal event
2025-03-05 09:23:21 | INTERNAL | Clock: 135 | Internal event
2025-03-05 09:23:21 | INTERNAL | Clock: 136 | Internal event
2025-03-05 09:23:21 | SEND | Clock: 137 | Sent to machine 2
2025-03-05 09:23:21 | INTERNAL | Clock: 138 | Internal event
2025-03-05 09:23:21 | RECEIVE | Clock: 139 | Message clock: 132, Queue length: 0
2025-03-05 09:23:21 | SEND | Clock: 140 | Sent to machine 2
2025-03-05 09:23:21 | SEND | Clock: 141 | Sent to machine 3
2025-03-05 09:23:22 | SEND | Clock: 142 | Sent to machine 2
2025-03-05 09:23:22 | SEND | Clock: 143 | Sent to machine 3
2025-03-05 09:23:22 | INTERNAL | Clock: 144 | Internal event
2025-03-05 09:23:22 | INTERNAL | Clock: 145 | Internal event
