Clock rate: 4 ticks per second
Machine 1 log started at 2025-03-05 20:03:57.393725
Clock rate: 5 ticks per second
2025-03-05 20:03:59 | INTERNAL | Clock: 1 | Internal event
2025-03-05 20:03:59 | INTERNAL | Clock: 2 | Internal event
2025-03-05 20:04:00 | SEND | Clock: 3 | Sent to machine 2 with delay 0.21s
2025-03-05 20:04:00 | SEND | Clock: 4 | Sent to machine 3 with delay 0.16s
2025-03-05 20:04:00 | INTERNAL | Clock: 5 | Internal event
2025-03-05 20:04:00 | INTERNAL | Clock: 6 | Internal event
2025-03-05 20:04:00 | INTERNAL | Clock: 7 | Internal event
2025-03-05 20:04:00 | INTERNAL | Clock: 8 | Internal event
2025-03-05 20:04:01 | SEND | Clock: 9 | Sent to machine 3 with delay 0.18s
2025-03-05 20:04:01 | INTERNAL | Clock: 10 | Internal event
2025-03-05 20:04:01 | INTERNAL | Clock: 11 | Internal event
2025-03-05 20:04:01 | INTERNAL | Clock: 12 | Internal event
2025-03-05 20:04:01 | INTERNAL | Clock: 13 | Internal event
2025-03-05 20:04:02 | INTERNAL | Clock: 14 | Internal event
2025-03-05 20:04:02 | RECEIVE | Clock: 15 | Message clock: 12, Queue length: 0
2025-03-05 20:04:02 | INTERNAL | Clock: 16 | Internal event
2025-03-05 20:04:02 | INTERNAL | Clock: 17 | Internal event
2025-03-05 20:04:02 | INTERNAL | Clock: 18 | Internal event
2025-03-05 20:04:03 | INTERNAL | Clock: 19 | Internal event
2025-03-05 20:04:03 | SEND | Clock: 20 | Sent to machine 2 with delay 0.15s
2025-03-05 20:04:03 | SEND | Clock: 21 | Sent to machine 3 with delay 0.11s
2025-03-05 20:04:03 | INTERNAL | Clock: 22 | Internal event
2025-03-05 20:04:03 | RECEIVE | Clock: 23 | Message clock: 16, Queue length: 0
2025-03-05 20:04:03 | INTERNAL | Clock: 24 | Internal event
2025-03-05 20:04:04 | INTERNAL | Clock: 25 | Internal event
2025-03-05 20:04:04 | INTERNAL | Clock: 26 | Internal event
2025-03-05 20:04:04 | RECEIVE | Clock: 27 | Message clock: 23, Queue length: 0
2025-03-05 20:04:04 | RECEIVE | Clock: 28 | Message clock: 23, Queue length: 0
2025-03-05 20:04:04 | RECEIVE | Clock: 29 | Message clock: 25, Queue length: 0
2025-03-05 20:04:05 | INTERNAL | Clock: 30 | Internal event
2025-03-05 20:04:05 | SEND | Clock: 31 | Sent to machine 2 with delay 0.40s
2025-03-05 20:04:06 | SEND | Clock: 32 | Sent to machine 3 with delay 0.39s
2025-03-05 20:04:06 | INTERNAL | Clock: 33 | Internal event
2025-03-05 20:04:06 | INTERNAL | Clock: 34 | Internal event
2025-03-05 20:04:07 | SEND | Clock: 35 | Sent to machine 2 with delay 0.44s
2025-03-05 20:04:07 | SEND | Clock: 36 | Sent to machine 3 with delay 0.14s
2025-03-05 20:04:07 | RECEIVE | Clock: 37 | Message clock: 34, Queue length: 0
2025-03-05 20:04:07 | INTERNAL | Clock: 38 | Internal event
2025-03-05 20:04:07 | SEND | Clock: 39 | Sent to machine 3 with delay 0.13s
2025-03-05 20:04:07 | INTERNAL | Clock: 40 | Internal event
2025-03-05 20:04:08 | SEND | Clock: 41 | Sent to machine 2 with delay 0.11s
2025-03-05 20:04:08 | INTERNAL | Clock: 42 | Internal event
2025-03-05 20:04:08 | SEND | Clock: 43 | Sent to machine 2 with delay 0.18s
