Machine 2 log started at 2025-03-05 19:42:31.954780
Clock rate: 6 ticks per second
2025-03-05 19:42:32 | RECEIVE | Clock: 5 | Message clock: 4, Queue length: 0
2025-03-05 19:42:33 | RECEIVE | Clock: 6 | Message clock: 5, Queue length: 0
2025-03-05 19:42:33 | RECEIVE | Clock: 8 | Message clock: 7, Queue length: 0
2025-03-05 19:42:33 | INTERNAL | Clock: 9 | Internal event
2025-03-05 19:42:33 | RECEIVE | Clock: 10 | Message clock: 8, Queue length: 0
2025-03-05 19:42:33 | SEND | Clock: 11 | Sent to machine 1
2025-03-05 19:42:33 | SEND | Clock: 12 | Sent to machine 3
2025-03-05 19:42:33 | SEND | Clock: 13 | Sent to machine 1
2025-03-05 19:42:34 | INTERNAL | Clock: 14 | Internal event
2025-03-05 19:42:34 | SEND | Clock: 15 | Sent to machine 3
2025-03-05 19:42:34 | INTERNAL | Clock: 16 | Internal event
2025-03-05 19:42:34 | SEND | Clock: 17 | Sent to machine 1
2025-03-05 19:42:34 | RECEIVE | Clock: 18 | Message clock: 17, Queue length: 0
2025-03-05 19:42:35 | RECEIVE | Clock: 21 | Message clock: 20, Queue length: 0
2025-03-05 19:42:35 | RECEIVE | Clock: 22 | Message clock: 20, Queue length: 0
2025-03-05 19:42:35 | RECEIVE | Clock: 23 | Message clock: 21, Queue length: 1
2025-03-05 19:42:35 | RECEIVE | Clock: 24 | Message clock: 21, Queue length: 1
2025-03-05 19:42:35 | RECEIVE | Clock: 25 | Message clock: 22, Queue length: 0
2025-03-05 19:42:35 | SEND | Clock: 26 | Sent to machine 1
2025-03-05 19:42:35 | SEND | Clock: 27 | Sent to machine 3
2025-03-05 19:42:36 | SEND | Clock: 28 | Sent to machine 1
2025-03-05 19:42:36 | SEND | Clock: 29 | Sent to machine 3
2025-03-05 19:42:36 | SEND | Clock: 30 | Sent to machine 1
2025-03-05 19:42:36 | INTERNAL | Clock: 31 | Internal event
2025-03-05 19:42:36 | INTERNAL | Clock: 32 | Internal event
2025-03-05 19:42:36 | SEND | Clock: 33 | Sent to machine 1
2025-03-05 19:42:36 | SEND | Clock: 34 | Sent to machine 3
2025-03-05 19:42:36 | INTERNAL | Clock: 35 | Internal event
2025-03-05 19:42:37 | RECEIVE | Clock: 37 | Message clock: 36, Queue length: 0
2025-03-05 19:42:37 | RECEIVE | Clock: 39 | Message clock: 38, Queue length: 0
2025-03-05 19:42:37 | RECEIVE | Clock: 41 | Message clock: 40, Queue length: 0
2025-03-05 19:42:37 | RECEIVE | Clock: 42 | Message clock: 41, Queue length: 0
2025-03-05 19:42:37 | INTERNAL | Clock: 43 | Internal event
2025-03-05 19:42:37 | RECEIVE | Clock: 45 | Message clock: 44, Queue length: 0
2025-03-05 19:42:38 | INTERNAL | Clock: 46 | Internal event
2025-03-05 19:42:38 | INTERNAL | Clock: 47 | Internal event
2025-03-05 19:42:38 | RECEIVE | Clock: 48 | Message clock: 46, Queue length: 0
2025-03-05 19:42:38 | RECEIVE | Clock: 50 | Message clock: 49, Queue length: 0
2025-03-05 19:42:38 | RECEIVE | Clock: 51 | Message clock: 50, Queue length: 0
2025-03-05 19:42:38 | INTERNAL | Clock: 52 | Internal event
2025-03-05 19:42:39 | RECEIVE | Clock: 53 | Message clock: 51, Queue length: 0
2025-03-05 19:42:39 | SEND | Clock: 54 | Sent to machine 3
2025-03-05 19:42:39 | SEND | Clock: 55 | Sent to machine 3
2025-03-05 19:42:39 | INTERNAL | Clock: 56 | Internal event
2025-03-05 19:42:39 | INTERNAL | Clock: 57 | Internal event
2025-03-05 19:42:39 | SEND | Clock: 58 | Sent to machine 3
2025-03-05 19:42:40 | INTERNAL | Clock: 59 | Internal event
2025-03-05 19:42:40 | INTERNAL | Clock: 60 | Internal event
2025-03-05 19:42:40 | SEND | Clock: 61 | Sent to machine 1
2025-03-05 19:42:40 | SEND | Clock: 62 | Sent to machine 3
2025-03-05 19:42:40 | SEND | Clock: 63 | Sent to machine 1
2025-03-05 19:42:40 | SEND | Clock: 64 | Sent to machine 3
2025-03-05 19:42:40 | INTERNAL | Clock: 65 | Internal event
2025-03-05 19:42:40 | INTERNAL | Clock: 66 | Internal event
2025-03-05 19:42:41 | INTERNAL | Clock: 67 | Internal event
2025-03-05 19:42:41 | INTERNAL | Clock: 68 | Internal event
2025-03-05 19:42:41 | RECEIVE | Clock: 69 | Message clock: 68, Queue length: 1
2025-03-05 19:42:41 | RECEIVE | Clock: 71 | Message clock: 70, Queue length: 0
2025-03-05 19:42:41 | INTERNAL | Clock: 72 | Internal event
2025-03-05 19:42:41 | INTERNAL | Clock: 73 | Internal event
2025-03-05 19:42:42 | SEND | Clock: 74 | Sent to machine 3
2025-03-05 19:42:42 | INTERNAL | Clock: 75 | Internal event
2025-03-05 19:42:42 | INTERNAL | Clock: 76 | Internal event
2025-03-05 19:42:42 | SEND | Clock: 77 | Sent to machine 1
2025-03-05 19:42:42 | SEND | Clock: 78 | Sent to machine 3
2025-03-05 19:42:43 | INTERNAL | Clock: 79 | Internal event
