Machine 3 log started at 2025-03-05 19:42:32.446257
Clock rate: 6 ticks per second
2025-03-05 19:42:32 | INTERNAL | Clock: 1 | Internal event
2025-03-05 19:42:32 | INTERNAL | Clock: 2 | Internal event
2025-03-05 19:42:32 | INTERNAL | Clock: 3 | Internal event
2025-03-05 19:42:32 | SEND | Clock: 4 | Sent to machine 2
2025-03-05 19:42:33 | SEND | Clock: 5 | Sent to machine 2
2025-03-05 19:42:33 | SEND | Clock: 6 | Sent to machine 1
2025-03-05 19:42:33 | SEND | Clock: 7 | Sent to machine 2
2025-03-05 19:42:33 | INTERNAL | Clock: 8 | Internal event
2025-03-05 19:42:33 | INTERNAL | Clock: 9 | Internal event
2025-03-05 19:42:33 | INTERNAL | Clock: 10 | Internal event
2025-03-05 19:42:33 | RECEIVE | Clock: 13 | Message clock: 12, Queue length: 0
2025-03-05 19:42:34 | INTERNAL | Clock: 14 | Internal event
2025-03-05 19:42:34 | INTERNAL | Clock: 15 | Internal event
2025-03-05 19:42:34 | RECEIVE | Clock: 16 | Message clock: 15, Queue length: 1
2025-03-05 19:42:34 | RECEIVE | Clock: 17 | Message clock: 16, Queue length: 0
2025-03-05 19:42:34 | RECEIVE | Clock: 19 | Message clock: 18, Queue length: 0
2025-03-05 19:42:35 | SEND | Clock: 20 | Sent to machine 2
2025-03-05 19:42:35 | SEND | Clock: 21 | Sent to machine 2
2025-03-05 19:42:35 | INTERNAL | Clock: 22 | Internal event
2025-03-05 19:42:35 | RECEIVE | Clock: 24 | Message clock: 23, Queue length: 0
2025-03-05 19:42:35 | SEND | Clock: 25 | Sent to machine 1
2025-03-05 19:42:35 | RECEIVE | Clock: 28 | Message clock: 27, Queue length: 0
2025-03-05 19:42:36 | RECEIVE | Clock: 30 | Message clock: 29, Queue length: 0
2025-03-05 19:42:36 | INTERNAL | Clock: 31 | Internal event
2025-03-05 19:42:36 | SEND | Clock: 32 | Sent to machine 1
2025-03-05 19:42:36 | INTERNAL | Clock: 33 | Internal event
2025-03-05 19:42:36 | RECEIVE | Clock: 35 | Message clock: 34, Queue length: 0
2025-03-05 19:42:36 | SEND | Clock: 36 | Sent to machine 2
2025-03-05 19:42:37 | SEND | Clock: 37 | Sent to machine 1
2025-03-05 19:42:37 | SEND | Clock: 38 | Sent to machine 2
2025-03-05 19:42:37 | SEND | Clock: 39 | Sent to machine 1
2025-03-05 19:42:37 | SEND | Clock: 40 | Sent to machine 2
2025-03-05 19:42:37 | INTERNAL | Clock: 41 | Internal event
2025-03-05 19:42:37 | RECEIVE | Clock: 43 | Message clock: 42, Queue length: 0
2025-03-05 19:42:37 | SEND | Clock: 44 | Sent to machine 2
2025-03-05 19:42:37 | INTERNAL | Clock: 45 | Internal event
2025-03-05 19:42:38 | INTERNAL | Clock: 46 | Internal event
2025-03-05 19:42:38 | INTERNAL | Clock: 47 | Internal event
2025-03-05 19:42:38 | SEND | Clock: 48 | Sent to machine 1
2025-03-05 19:42:38 | SEND | Clock: 49 | Sent to machine 2
2025-03-05 19:42:38 | SEND | Clock: 50 | Sent to machine 2
2025-03-05 19:42:38 | INTERNAL | Clock: 51 | Internal event
2025-03-05 19:42:38 | INTERNAL | Clock: 52 | Internal event
2025-03-05 19:42:39 | RECEIVE | Clock: 53 | Message clock: 52, Queue length: 0
2025-03-05 19:42:39 | RECEIVE | Clock: 54 | Message clock: 53, Queue length: 0
2025-03-05 19:42:39 | RECEIVE | Clock: 55 | Message clock: 54, Queue length: 0
2025-03-05 19:42:39 | RECEIVE | Clock: 56 | Message clock: 55, Queue length: 0
2025-03-05 19:42:39 | RECEIVE | Clock: 57 | Message clock: 56, Queue length: 0
2025-03-05 19:42:39 | INTERNAL | Clock: 58 | Internal event
2025-03-05 19:42:40 | RECEIVE | Clock: 59 | Message clock: 58, Queue length: 1
2025-03-05 19:42:40 | RECEIVE | Clock: 60 | Message clock: 57, Queue length: 0
