Machine 2 log started at 2025-03-05 12:50:39.949832
Clock rate: 6 ticks per second
2025-03-05 12:50:40 | RECEIVE | Clock: 3 | Message clock: 2, Queue length: 0
2025-03-05 12:50:41 | RECEIVE | Clock: 5 | Message clock: 4, Queue length: 0
2025-03-05 12:50:41 | SEND | Clock: 6 | Sent to machine 1
2025-03-05 12:50:41 | SEND | Clock: 7 | Sent to machine 3
2025-03-05 12:50:41 | SEND | Clock: 8 | Sent to machine 1
2025-03-05 12:50:41 | SEND | Clock: 9 | Sent to machine 1
2025-03-05 12:50:41 | RECEIVE | Clock: 10 | Message clock: 9, Queue length: 0
2025-03-05 12:50:41 | SEND | Clock: 11 | Sent to machine 1
2025-03-05 12:50:42 | RECEIVE | Clock: 12 | Message clock: 10, Queue length: 0
2025-03-05 12:50:42 | INTERNAL | Clock: 13 | Internal event
2025-03-05 12:50:42 | RECEIVE | Clock: 14 | Message clock: 11, Queue length: 0
2025-03-05 12:50:42 | SEND | Clock: 15 | Sent to machine 1
2025-03-05 12:50:42 | SEND | Clock: 16 | Sent to machine 1
2025-03-05 12:50:42 | SEND | Clock: 17 | Sent to machine 3
2025-03-05 12:50:42 | SEND | Clock: 18 | Sent to machine 1
2025-03-05 12:50:42 | SEND | Clock: 19 | Sent to machine 3
2025-03-05 12:50:43 | SEND | Clock: 20 | Sent to machine 1
2025-03-05 12:50:43 | SEND | Clock: 21 | Sent to machine 3
2025-03-05 12:50:43 | SEND | Clock: 22 | Sent to machine 1
2025-03-05 12:50:43 | SEND | Clock: 23 | Sent to machine 3
2025-03-05 12:50:43 | SEND | Clock: 24 | Sent to machine 3
2025-03-05 12:50:43 | SEND | Clock: 25 | Sent to machine 3
2025-03-05 12:50:43 | SEND | Clock: 26 | Sent to machine 1
2025-03-05 12:50:43 | SEND | Clock: 27 | Sent to machine 3
2025-03-05 12:50:44 | SEND | Clock: 28 | Sent to machine 1
2025-03-05 12:50:44 | SEND | Clock: 29 | Sent to machine 3
2025-03-05 12:50:44 | INTERNAL | Clock: 30 | Internal event
2025-03-05 12:50:44 | SEND | Clock: 31 | Sent to machine 1
2025-03-05 12:50:44 | SEND | Clock: 32 | Sent to machine 3
2025-03-05 12:50:44 | SEND | Clock: 33 | Sent to machine 1
2025-03-05 12:50:44 | SEND | Clock: 34 | Sent to machine 1
2025-03-05 12:50:44 | SEND | Clock: 35 | Sent to machine 3
2025-03-05 12:50:44 | INTERNAL | Clock: 36 | Internal event
2025-03-05 12:50:45 | SEND | Clock: 37 | Sent to machine 3
2025-03-05 12:50:45 | SEND | Clock: 38 | Sent to machine 3
2025-03-05 12:50:45 | SEND | Clock: 39 | Sent to machine 1
2025-03-05 12:50:45 | INTERNAL | Clock: 40 | Internal event
2025-03-05 12:50:45 | SEND | Clock: 41 | Sent to machine 3
2025-03-05 12:50:45 | RECEIVE | Clock: 42 | Message clock: 41, Queue length: 0
2025-03-05 12:50:46 | INTERNAL | Clock: 43 | Internal event
2025-03-05 12:50:46 | SEND | Clock: 44 | Sent to machine 3
2025-03-05 12:50:46 | RECEIVE | Clock: 45 | Message clock: 43, Queue length: 0
2025-03-05 12:50:46 | INTERNAL | Clock: 46 | Internal event
2025-03-05 12:50:46 | SEND | Clock: 47 | Sent to machine 1
2025-03-05 12:50:46 | SEND | Clock: 48 | Sent to machine 3
2025-03-05 12:50:46 | SEND | Clock: 49 | Sent to machine 3
2025-03-05 12:50:47 | RECEIVE | Clock: 50 | Message clock: 49, Queue length: 0
2025-03-05 12:50:47 | SEND | Clock: 51 | Sent to machine 1
2025-03-05 12:50:47 | INTERNAL | Clock: 52 | Internal event
2025-03-05 12:50:47 | RECEIVE | Clock: 54 | Message clock: 53, Queue length: 0
2025-03-05 12:50:47 | INTERNAL | Clock: 55 | Internal event
2025-03-05 12:50:47 | RECEIVE | Clock: 56 | Message clock: 54, Queue length: 0
2025-03-05 12:50:48 | RECEIVE | Clock: 57 | Message clock: 55, Queue length: 0
2025-03-05 12:50:48 | RECEIVE | Clock: 58 | Message clock: 56, Queue length: 0
2025-03-05 12:50:48 | SEND | Clock: 59 | Sent to machine 3
2025-03-05 12:50:48 | RECEIVE | Clock: 60 | Message clock: 58, Queue length: 0
2025-03-05 12:50:48 | RECEIVE | Clock: 61 | Message clock: 59, Queue length: 0
2025-03-05 12:50:48 | SEND | Clock: 62 | Sent to machine 1
2025-03-05 12:50:48 | SEND | Clock: 63 | Sent to machine 3
2025-03-05 12:50:49 | SEND | Clock: 64 | Sent to machine 3
2025-03-05 12:50:49 | SEND | Clock: 65 | Sent to machine 1
2025-03-05 12:50:49 | SEND | Clock: 66 | Sent to machine 3
2025-03-05 12:50:49 | SEND | Clock: 67 | Sent to machine 1
2025-03-05 12:50:49 | SEND | Clock: 68 | Sent to machine 1
2025-03-05 12:50:49 | SEND | Clock: 69 | Sent to machine 1
2025-03-05 12:50:49 | SEND | Clock: 70 | Sent to machine 3
2025-03-05 12:50:50 | INTERNAL | Clock: 71 | Internal event
2025-03-05 12:50:50 | INTERNAL | Clock: 72 | Internal event
2025-03-05 12:50:50 | SEND | Clock: 73 | Sent to machine 1
2025-03-05 12:50:50 | SEND | Clock: 74 | Sent to machine 3
2025-03-05 12:50:50 | SEND | Clock: 75 | Sent to machine 3
2025-03-05 12:50:50 | RECEIVE | Clock: 76 | Message clock: 75, Queue length: 0
2025-03-05 12:50:51 | INTERNAL | Clock: 77 | Internal event
